county,date,year,month,labor_force,employment,unemployment,unemployment_rate,GEOID
alameda,2020-01-01,2020,01,841300,815500,25700,0.031,6001
alameda,2020-02-01,2020,02,840400,815400,25000,0.03,6001
alameda,2020-03-01,2020,03,835400,802700,32700,0.039,6001
alameda,2020-04-01,2020,04,804200,691200,112900,0.14,6001
alameda,2020-05-01,2020,05,803400,693400,110100,0.13699999999999998,6001
alameda,2020-06-01,2020,06,824100,713000,111100,0.135,6001
alameda,2020-07-01,2020,07,819100,719100,100000,0.122,6001
alameda,2020-08-01,2020,08,802800,726800,76000,0.095,6001
alameda,2020-09-01,2020,09,804700,730800,73900,0.092,6001
alameda,2020-10-01,2020,10,830900,765400,65500,0.079,6001
alpine,2020-01-01,2020,01,650,620,30,0.046,6003
alpine,2020-02-01,2020,02,650,610,30,0.05,6003
alpine,2020-03-01,2020,03,530,490,40,0.07400000000000001,6003
alpine,2020-04-01,2020,04,500,390,110,0.21600000000000005,6003
alpine,2020-05-01,2020,05,480,380,110,0.22,6003
alpine,2020-06-01,2020,06,490,400,90,0.18899999999999997,6003
alpine,2020-07-01,2020,07,460,400,70,0.14400000000000002,6003
alpine,2020-08-01,2020,08,450,410,50,0.10400000000000001,6003
alpine,2020-09-01,2020,09,450,410,50,0.10400000000000001,6003
alpine,2020-10-01,2020,10,470,420,50,0.09699999999999999,6003
amador,2020-01-01,2020,01,14860,14160,700,0.047,6005
amador,2020-02-01,2020,02,14860,14200,660,0.044000000000000004,6005
amador,2020-03-01,2020,03,14790,13980,810,0.055,6005
amador,2020-04-01,2020,04,14520,12430,2090,0.14400000000000002,6005
amador,2020-05-01,2020,05,14070,11910,2160,0.153,6005
amador,2020-06-01,2020,06,14460,12620,1840,0.127,6005
amador,2020-07-01,2020,07,14240,12540,1700,0.11900000000000001,6005
amador,2020-08-01,2020,08,14140,12880,1260,0.08900000000000001,6005
amador,2020-09-01,2020,09,14120,12910,1210,0.086,6005
amador,2020-10-01,2020,10,14610,13490,1130,0.077,6005
butte,2020-01-01,2020,01,97800,92400,5400,0.055999999999999994,6007
butte,2020-02-01,2020,02,98500,93200,5400,0.054000000000000006,6007
butte,2020-03-01,2020,03,99100,92300,6800,0.068,6007
butte,2020-04-01,2020,04,93900,79300,14600,0.155,6007
butte,2020-05-01,2020,05,91800,79600,12200,0.133,6007
butte,2020-06-01,2020,06,93700,82300,11400,0.122,6007
butte,2020-07-01,2020,07,92800,82400,10400,0.11199999999999999,6007
butte,2020-08-01,2020,08,93000,85100,8000,0.086,6007
butte,2020-09-01,2020,09,93100,85300,7800,0.084,6007
butte,2020-10-01,2020,10,96300,89100,7100,0.07400000000000001,6007
calaveras,2020-01-01,2020,01,21560,20630,930,0.043,6009
calaveras,2020-02-01,2020,02,21610,20700,910,0.042,6009
calaveras,2020-03-01,2020,03,21510,20320,1180,0.055,6009
calaveras,2020-04-01,2020,04,20670,17930,2740,0.133,6009
calaveras,2020-05-01,2020,05,20020,17610,2410,0.121,6009
calaveras,2020-06-01,2020,06,20660,18390,2270,0.11,6009
calaveras,2020-07-01,2020,07,20630,18640,1990,0.096,6009
calaveras,2020-08-01,2020,08,20490,19010,1470,0.07200000000000001,6009
calaveras,2020-09-01,2020,09,20230,18750,1470,0.073,6009
calaveras,2020-10-01,2020,10,20740,19370,1370,0.066,6009
colusa,2020-01-01,2020,01,10870,8790,2090,0.192,6011
colusa,2020-02-01,2020,02,11200,8990,2220,0.198,6011
colusa,2020-03-01,2020,03,11470,8780,2700,0.235,6011
colusa,2020-04-01,2020,04,10690,7810,2880,0.27,6011
colusa,2020-05-01,2020,05,10160,8070,2100,0.20600000000000002,6011
colusa,2020-06-01,2020,06,9950,8120,1830,0.184,6011
colusa,2020-07-01,2020,07,9920,8430,1490,0.15,6011
colusa,2020-08-01,2020,08,9960,8930,1030,0.10400000000000001,6011
colusa,2020-09-01,2020,09,9820,8820,1000,0.102,6011
colusa,2020-10-01,2020,10,10010,9080,930,0.09300000000000001,6011
contra costa,2020-01-01,2020,01,559600,541600,18000,0.032,6013
contra costa,2020-02-01,2020,02,558800,541300,17500,0.031,6013
contra costa,2020-03-01,2020,03,555500,532800,22700,0.040999999999999995,6013
contra costa,2020-04-01,2020,04,536500,458800,77800,0.145,6013
contra costa,2020-05-01,2020,05,534000,460200,73900,0.138,6013
contra costa,2020-06-01,2020,06,546900,473500,73400,0.134,6013
contra costa,2020-07-01,2020,07,544200,477900,66300,0.122,6013
contra costa,2020-08-01,2020,08,533400,483000,50300,0.094,6013
contra costa,2020-09-01,2020,09,534900,485900,49000,0.092,6013
contra costa,2020-10-01,2020,10,552600,508900,43700,0.079,6013
del norte,2020-01-01,2020,01,9640,9010,630,0.065,6015
del norte,2020-02-01,2020,02,9620,9020,600,0.062,6015
del norte,2020-03-01,2020,03,9480,8740,740,0.078,6015
del norte,2020-04-01,2020,04,9610,8330,1270,0.133,6015
del norte,2020-05-01,2020,05,9200,7990,1210,0.132,6015
del norte,2020-06-01,2020,06,9320,8160,1170,0.125,6015
del norte,2020-07-01,2020,07,9310,8240,1070,0.115,6015
del norte,2020-08-01,2020,08,9330,8490,840,0.09,6015
del norte,2020-09-01,2020,09,9090,8300,790,0.087,6015
del norte,2020-10-01,2020,10,9420,8670,750,0.08,6015
el dorado,2020-01-01,2020,01,92200,88800,3500,0.037000000000000005,6017
el dorado,2020-02-01,2020,02,92300,88900,3400,0.037000000000000005,6017
el dorado,2020-03-01,2020,03,91700,87400,4300,0.047,6017
el dorado,2020-04-01,2020,04,89900,76200,13700,0.153,6017
el dorado,2020-05-01,2020,05,90600,76900,13700,0.151,6017
el dorado,2020-06-01,2020,06,90900,79200,11700,0.128,6017
el dorado,2020-07-01,2020,07,89400,80200,9200,0.10300000000000001,6017
el dorado,2020-08-01,2020,08,88300,81500,6800,0.076,6017
el dorado,2020-09-01,2020,09,88500,82100,6500,0.073,6017
el dorado,2020-10-01,2020,10,91900,86000,5900,0.064,6017
fresno,2020-01-01,2020,01,452500,415800,36600,0.081,6019
fresno,2020-02-01,2020,02,454000,415500,38500,0.085,6019
fresno,2020-03-01,2020,03,457000,406900,50200,0.11,6019
fresno,2020-04-01,2020,04,450300,374400,75900,0.16899999999999998,6019
fresno,2020-05-01,2020,05,446400,377200,69200,0.155,6019
fresno,2020-06-01,2020,06,450000,384900,65200,0.145,6019
fresno,2020-07-01,2020,07,446600,386600,60000,0.134,6019
fresno,2020-08-01,2020,08,442400,396700,45700,0.10300000000000001,6019
fresno,2020-09-01,2020,09,440600,395900,44700,0.10099999999999999,6019
fresno,2020-10-01,2020,10,450400,408700,41700,0.09300000000000001,6019
glenn,2020-01-01,2020,01,13220,12260,970,0.073,6021
glenn,2020-02-01,2020,02,13260,12320,940,0.071,6021
glenn,2020-03-01,2020,03,13160,11980,1180,0.09,6021
glenn,2020-04-01,2020,04,11410,9580,1830,0.16,6021
glenn,2020-05-01,2020,05,11100,9580,1520,0.13699999999999998,6021
glenn,2020-06-01,2020,06,11090,9670,1420,0.128,6021
glenn,2020-07-01,2020,07,11930,10630,1300,0.109,6021
glenn,2020-08-01,2020,08,12360,11400,960,0.077,6021
glenn,2020-09-01,2020,09,12590,11690,900,0.071,6021
glenn,2020-10-01,2020,10,13200,12370,830,0.063,6021
humboldt,2020-01-01,2020,01,61800,59300,2500,0.040999999999999995,6023
humboldt,2020-02-01,2020,02,62100,59700,2400,0.039,6023
humboldt,2020-03-01,2020,03,61800,58700,3100,0.05,6023
humboldt,2020-04-01,2020,04,62200,53600,8600,0.138,6023
humboldt,2020-05-01,2020,05,60900,53600,7300,0.12,6023
humboldt,2020-06-01,2020,06,59900,52900,7000,0.11699999999999999,6023
humboldt,2020-07-01,2020,07,59300,53000,6300,0.106,6023
humboldt,2020-08-01,2020,08,59000,54200,4800,0.08199999999999999,6023
humboldt,2020-09-01,2020,09,59500,55000,4500,0.076,6023
humboldt,2020-10-01,2020,10,61500,57400,4100,0.066,6023
imperial,2020-01-01,2020,01,72400,59400,13000,0.18,6025
imperial,2020-02-01,2020,02,71700,59400,12200,0.17,6025
imperial,2020-03-01,2020,03,73100,57900,15200,0.20800000000000002,6025
imperial,2020-04-01,2020,04,71900,51700,20200,0.281,6025
imperial,2020-05-01,2020,05,71800,51900,19900,0.27699999999999997,6025
imperial,2020-06-01,2020,06,73200,53100,20100,0.27399999999999997,6025
imperial,2020-07-01,2020,07,71700,52400,19400,0.27,6025
imperial,2020-08-01,2020,08,68200,53200,15000,0.22,6025
imperial,2020-09-01,2020,09,67500,53200,14300,0.21100000000000002,6025
imperial,2020-10-01,2020,10,68700,55800,13000,0.188,6025
