county,sum_county_loans,ppp_county_proportion,median_household_income_qr,count_income,count_county,ppp_income_proportion,ppp_income_sum,ppp_income_avg,ppp_income_med,income_order
alameda,3655037565,0.042666883,low,4073,26285,0.154955298,672522318,165117.1908,36750,1
alameda,3655037565,0.042666883,lower_middle,1579,26285,0.060072285,225523040,142826.4978,25240,2
alameda,3655037565,0.042666883,upper_middle,8215,26285,0.312535667,1043422985,127014.3621,25750,3
alameda,3655037565,0.042666883,upper,12418,26285,0.472436751,1694622980,136465.0491,28821,4
alpine,393276,1.78E-05,low,5,11,0.454545455,310332,62066.4,32500,1
alpine,393276,1.78E-05,upper_middle,6,11,0.545454545,82944,13824,13898.5,3
amador,25232397,0.000686973,lower_middle,247,420,0.588095238,12044583,48763.49393,28927,2
amador,25232397,0.000686973,upper_middle,173,420,0.411904762,12905065,74595.75145,30900,3
butte,264971364,0.004053791,low,1047,2479,0.422347721,95415394,91132.18147,29543,1
butte,264971364,0.004053791,lower_middle,1361,2479,0.549011698,157445463,115683.6613,36600,2
butte,264971364,0.004053791,upper_middle,71,2479,0.028640581,7157770,100813.662,42368,3
calaveras,31839263,0.000777706,low,58,472,0.122881356,3597912,62032.96552,23822.5,1
calaveras,31839263,0.000777706,lower_middle,194,472,0.411016949,13671999,70474.22165,25319.5,2
calaveras,31839263,0.000777706,upper_middle,215,472,0.455508475,13864722,64487.07907,25322,3
calaveras,31839263,0.000777706,upper,5,472,0.01059322,260608,52121.6,19318,4
colusa,49849429,0.00043908,lower_middle,260,271,0.959409594,49192307,189201.1808,46177.5,2
colusa,49849429,0.00043908,upper_middle,11,271,0.040590406,657122,59738.36364,46700,3
contra costa,1692803262,0.02521873,low,249,15543,0.016020073,49545362,198977.3574,35947,1
contra costa,1692803262,0.02521873,lower_middle,2632,15543,0.169336679,443956423,168676.4525,32753.5,2
contra costa,1692803262,0.02521873,upper_middle,2017,15543,0.129769028,151169086,74947.48934,21710,3
contra costa,1692803262,0.02521873,upper,10645,15543,0.68487422,1041513141,97840.59568,25000,4
del norte,14937175,0.000290019,low,179,179,1,14937175,83447.90503,32817,1
el dorado,236229389,0.003948477,low,6,2399,0.002501042,89489,14914.83333,11376,1
el dorado,236229389,0.003948477,lower_middle,1131,2399,0.471446436,93480229,82652.72237,24582,2
el dorado,236229389,0.003948477,upper_middle,204,2399,0.085035431,20926484,102580.8039,33628.5,3
el dorado,236229389,0.003948477,upper,1058,2399,0.44101709,118811250,112297.9679,29147.5,4
fresno,1275261087,0.017073882,low,2935,10412,0.281886285,427155368,145538.4559,36910,1
fresno,1275261087,0.017073882,lower_middle,3855,10412,0.37024587,453174549,117555.0062,31900,2
fresno,1275261087,0.017073882,upper_middle,2378,10412,0.228390319,292690897,123082.7994,31250,3
fresno,1275261087,0.017073882,upper,1244,10412,0.119477526,87347398,70214.95016,20833,4
glenn,41390301,0.000426118,low,154,261,0.590038314,21447853,139271.7727,47650,1
glenn,41390301,0.000426118,lower_middle,107,261,0.409961686,19625158,183412.6916,43100,2
humboldt,169642748,0.002798121,low,1014,1706,0.594372802,103686102,102254.5385,31700,1
humboldt,169642748,0.002798121,lower_middle,676,1706,0.396248535,54421333,80504.93047,30681,2
humboldt,169642748,0.002798121,upper_middle,16,1706,0.009378664,1430098,89381.125,13972.5,3
imperial,143637127,0.002036617,low,819,1245,0.657831325,81909441,100011.5275,31398,1
imperial,143637127,0.002036617,lower_middle,293,1245,0.235341365,46551018,158877.1945,56105,2
imperial,143637127,0.002036617,upper_middle,133,1245,0.106827309,13138243,98783.78195,37660,3
inyo,3250815,6.64E-05,low,22,35,0.628571429,2376139,108006.3182,35659,1
inyo,3250815,6.64E-05,lower_middle,11,35,0.314285714,421344,38304,30000,2
inyo,3250815,6.64E-05,upper,2,35,0.057142857,177170,88585,88585,4
kern,891359473,0.011087168,low,3208,6760,0.474556213,494505229,154147.5153,39834.5,1
kern,891359473,0.011087168,lower_middle,1177,6760,0.174112426,121222964,102993.1725,27000,2
kern,891359473,0.011087168,upper_middle,872,6760,0.128994083,98385589,112827.5103,22750,3
kern,891359473,0.011087168,upper,1503,6760,0.222337278,147704215,98272.93081,25672,4
kings,103778326,0.001385288,low,31,850,0.036470588,3653090,117841.6129,49592,1
kings,103778326,0.001385288,lower_middle,813,850,0.956470588,99239523,122065.8339,41210,2
kings,103778326,0.001385288,upper_middle,6,850,0.007058824,385345,64224.16667,55507.5,3
lake,47256544,0.000789047,low,118,483,0.244306418,14027593,118877.9068,21562.5,1
lake,47256544,0.000789047,lower_middle,333,483,0.689440994,30395697,91278.36937,32500,2
lake,47256544,0.000789047,upper_middle,32,483,0.066252588,1937749,60554.65625,19067.5,3
lassen,15734407,0.000259235,low,4,159,0.025157233,583691,145922.75,15808,1
lassen,15734407,0.000259235,lower_middle,148,159,0.93081761,14466999,97749.99324,30958,2
lassen,15734407,0.000259235,upper_middle,5,159,0.031446541,580334,116066.8,135371,3
lassen,15734407,0.000259235,upper,2,159,0.012578616,83983,41991.5,41991.5,4
los angeles,17070010798,0.279933571,low,30286,171886,0.176198178,2975311470,98240.48967,22836.5,1
los angeles,17070010798,0.279933571,lower_middle,36393,171886,0.21172754,4076856921,112023.1067,24100,2
los angeles,17070010798,0.279933571,upper_middle,53985,171886,0.314074445,5008640517,92778.37394,22560,3
los angeles,17070010798,0.279933571,upper,51222,171886,0.297999837,4854199542,94767.86424,23399,4
madera,144948288,0.001975049,low,380,1217,0.312243221,37384002,98378.95263,26430,1
madera,144948288,0.001975049,lower_middle,658,1217,0.540673788,89769372,136427.617,34148,2
madera,144948288,0.001975049,upper_middle,179,1217,0.147082991,17574219,98179.99441,25000,3
marin,866930318,0.014178548,low,84,8694,0.009661836,8457143,100680.2738,37000,1
marin,866930318,0.014178548,lower_middle,34,8694,0.003910743,1603396,47158.70588,20832,2
marin,866930318,0.014178548,upper_middle,3210,8694,0.369220152,379258756,118149.1452,28131,3
marin,866930318,0.014178548,upper,5366,8694,0.617207269,474545349,88435.58498,20835,4
mariposa,7348071,0.000202528,low,11,124,0.088709677,949781,86343.72727,38255,1
mariposa,7348071,0.000202528,lower_middle,110,124,0.887096774,6322222,57474.74545,23083,2
mariposa,7348071,0.000202528,upper,3,124,0.024193548,58668,19556,17400,4
mendocino,116375885,0.002054439,low,570,1262,0.451664025,42872301,75214.56316,29684.5,1
mendocino,116375885,0.002054439,lower_middle,624,1262,0.494453249,65991239,105755.1907,31786.5,2
mendocino,116375885,0.002054439,upper_middle,67,1262,0.053090333,6695405,99931.41791,26542,3
mendocino,116375885,0.002054439,upper,1,1262,0.000792393,35300,35300,35300,4
merced,208336606,0.003240441,low,607,1988,0.305331992,62690379,103279.0428,37600,1
merced,208336606,0.003240441,lower_middle,1381,1988,0.694668008,142631585,103281.3794,31240,2
modoc,5685255,0.000126377,low,74,76,0.973684211,5637178,76178.08108,24136,1
modoc,5685255,0.000126377,upper_middle,2,76,0.026315789,16504,8252,8252,3
mono,52524295,0.000900843,low,1,556,0.001798561,41500,41500,41500,1
mono,52524295,0.000900843,lower_middle,253,556,0.455035971,29412312,116254.1976,29000,2
mono,52524295,0.000900843,upper_middle,302,556,0.543165468,23070483,76392.32781,35123.5,3
monterey,632815894,0.007762476,low,3,4740,0.000632911,514500,171500,3900,1
monterey,632815894,0.007762476,lower_middle,2116,4740,0.446413502,284681701,134537.6659,31826.5,2
monterey,632815894,0.007762476,upper_middle,1757,4740,0.370675105,236337309,134511.8435,36872,3
monterey,632815894,0.007762476,upper,864,4740,0.182278481,100614547,116452.022,29668.5,4
napa,396977614,0.004650032,low,4,2845,0.001405975,453721,113430.25,133765.5,1
napa,396977614,0.004650032,upper_middle,2375,2845,0.834797891,312717455,131670.5074,35615,3
napa,396977614,0.004650032,upper,466,2845,0.163796134,76466165,164090.4828,44897.5,4
nevada,142085615,0.003146468,low,18,1910,0.009424084,570563,31697.94444,21888,1
nevada,142085615,0.003146468,lower_middle,572,1910,0.29947644,51161711,89443.5507,33300.5,2
nevada,142085615,0.003146468,upper_middle,1320,1910,0.691099476,88559257,67090.34621,23543,3
orange,7760749135,0.104369734,low,840,64182,0.013087782,122970952,146393.9905,35135,1
orange,7760749135,0.104369734,lower_middle,7978,64182,0.124302764,751487429,94194.96478,22030,2
orange,7760749135,0.104369734,upper_middle,14041,64182,0.218768502,1821422329,129721.6957,30400,3
orange,7760749135,0.104369734,upper,41323,64182,0.643840952,5041491508,122002.0693,27300,4
placer,741640688,0.011445237,low,79,7051,0.011204085,3723085,47127.65823,20832,1
placer,741640688,0.011445237,lower_middle,839,7051,0.118990214,81907834,97625.54708,30700,2
placer,741640688,0.011445237,upper_middle,4051,7051,0.574528436,445780437,110042.0728,30000,3
